parameter,initvalue,optvalue,case,rec,param
kint(R1),-1.470672328,-2.01310292,case21,R1,kint
kdeg(R1),-3.780834778,-3.641589214,case21,R1,kdeg
krec4(R1),-2.782174019,-3.676088191,case21,R1,krec4
k4to11(R1),-2.015918461,-3.192120109,case21,R1,k4to11
krec11(R1),-1.140231442,-1.000004343,case21,R1,krec11
kint(R2),-3.204996404,-3.632569528,case21,R2,kint
kdeg(R2),-3.609471131,-3.62723524,case21,R2,kdeg
krec4(R2),-3.290551947,-5.330822637,case21,R2,krec4
k4to11(R2),-2.786482243,-5.7121535,case21,R2,k4to11
krec11(R2),-2.679708281,-2.007671861,case21,R2,krec11
kint(N1),-3.426942643,-3.568507575,case21,N1,kint
kdeg(N1),-4.85133566,-5.987289287,case21,N1,kdeg
krec4(N1),-1.889679703,-1.77389008,case21,N1,krec4
k4to11(N1),-1,-1,case21,N1,k4to11
krec11(N1),-1.611756663,-3.014425343,case21,N1,krec11
kint(R1),-1,-2.215332791,case22,R1,kint
kdeg(R1),-4.058677432,-3.647238808,case22,R1,kdeg
krec4(R1),-1.617496676,-3.672069195,case22,R1,krec4
k4to11(R1),-2.062537276,-3.623806413,case22,R1,k4to11
krec11(R1),-1.797402714,-1.003212603,case22,R1,krec11
kint(R2),-3.379905606,-3.64320954,case22,R2,kint
kdeg(R2),-2.593323592,-3.631378456,case22,R2,kdeg
krec4(R2),-2.469697826,-6,case22,R2,krec4
k4to11(R2),-3.013196926,-6,case22,R2,k4to11
krec11(R2),-2.829708941,-1.104124609,case22,R2,krec11
kint(N1),-2.32224709,-4.55918534,case22,N1,kint
kdeg(N1),-5.257856411,-5.455969182,case22,N1,kdeg
krec4(N1),-1.103606075,-1.438040421,case22,N1,krec4
k4to11(N1),-2.573098537,-1.984221244,case22,N1,k4to11
krec11(N1),-1.553991266,-4.24930651,case22,N1,krec11
kint(R1),-1,-1.940360862,case23,R1,kint
kdeg(R1),-4.411963717,-3.640335235,case23,R1,kdeg
krec4(R1),-2.528107149,-3.609771638,case23,R1,krec4
k4to11(R1),-1.816844085,-3.097110921,case23,R1,k4to11
krec11(R1),-1.306976932,-1.000004343,case23,R1,krec11
kint(R2),-1.997617925,-3.622129387,case23,R2,kint
kdeg(R2),-3.453778241,-3.641379966,case23,R2,kdeg
krec4(R2),-2.909107374,-5.946537395,case23,R2,krec4
k4to11(R2),-3.28121607,-5.604359141,case23,R2,k4to11
krec11(R2),-2.409626359,-1.00764092,case23,R2,krec11
kint(N1),-2.215767967,-3.463391061,case23,N1,kint
kdeg(N1),-5.829650261,-6,case23,N1,kdeg
krec4(N1),-1.290585864,-1.690625375,case23,N1,krec4
k4to11(N1),-2.162190683,-1.014470242,case23,N1,k4to11
krec11(N1),-1.779186103,-2.942714356,case23,N1,krec11
kint(R1),-1.449894001,-1.909565584,case24,R1,kint
kdeg(R1),-2.665968685,-3.641589214,case24,R1,kdeg
krec4(R1),-2.60086299,-3.114791488,case24,R1,krec4
k4to11(R1),-3.187400785,-3.416744533,case24,R1,k4to11
krec11(R1),-1.887797309,-1.000199821,case24,R1,krec11
kint(R2),-1.590286614,-3.63148998,case24,R2,kint
kdeg(R2),-3.123072391,-3.634306148,case24,R2,kdeg
krec4(R2),-2.173795577,-5.93711731,case24,R2,krec4
k4to11(R2),-2.940815382,-5.48160452,case24,R2,k4to11
krec11(R2),-1.686998013,-1.147263897,case24,R2,krec11
kint(N1),-3.508330206,-3.619228157,case24,N1,kint
kdeg(N1),-5.545734586,-5.696350439,case24,N1,kdeg
krec4(N1),-2.552686891,-1.278667619,case24,N1,krec4
k4to11(N1),-2.060655499,-2.439149243,case24,N1,k4to11
krec11(N1),-1.258714429,-4.926538271,case24,N1,krec11
kint(R1),-1.768810855,-1.886959582,case25,R1,kint
kdeg(R1),-3.075617323,-3.641113796,case25,R1,kdeg
krec4(R1),-1.700776077,-3.107343405,case25,R1,krec4
k4to11(R1),-2.50410892,-3.355079129,case25,R1,k4to11
krec11(R1),-1,-1.005586055,case25,R1,krec11
kint(R2),-1.540034863,-3.641665329,case25,R2,kint
kdeg(R2),-3.983635321,-3.631081198,case25,R2,kdeg
krec4(R2),-2.980634425,-5.999782907,case25,R2,krec4
k4to11(R2),-2.434825387,-5.859554812,case25,R2,k4to11
krec11(R2),-1.754684784,-1.026211966,case25,R2,krec11
kint(N1),-3.250225048,-3.378750996,case25,N1,kint
kdeg(N1),-6,-5.448940555,case25,N1,kdeg
krec4(N1),-1.621929306,-1.000004343,case25,N1,krec4
k4to11(N1),-2.416302584,-1.880117542,case25,N1,k4to11
krec11(N1),-1.134984908,-3.825562204,case25,N1,krec11
kint(R1),-1.722688821,-2.073107315,case26,R1,kint
kdeg(R1),-3.669708009,-3.644184645,case26,R1,kdeg
krec4(R1),-3.408078785,-3.497449984,case26,R1,krec4
k4to11(R1),-2.977076988,-3.390053603,case26,R1,k4to11
krec11(R1),-2.157328366,-1.000199821,case26,R1,krec11
