parameter,value,case
kint(N1),-3.227333635,case37
kdeg(N1),-4.46824016,case37
krec4(N1),-1.007888512,case37
k4to11(N1),-1.000595391,case37
krec11(N1),-3.022454721,case37
kprod(R1),0.560779123,case37
kprod(R2),0.048441804,case37
kprod(N1),-0.434270212,case37
kint(R1),-1.963371105,case38
kdeg(R1),-3.639974911,case38
krec4(R1),-3.711549552,case38
k4to11(R1),-3.107721696,case38
krec11(R1),-1.001627306,case38
kint(R2),-3.625269979,case38
kdeg(R2),-3.621438588,case38
krec4(R2),-5.733862418,case38
k4to11(R2),-4.956952257,case38
krec11(R2),-1.257534109,case38
kint(N1),-3.606056461,case38
kdeg(N1),-5.991825816,case38
krec4(N1),-2.064165373,case38
k4to11(N1),-1.012758407,case38
krec11(N1),-2.990251744,case38
kprod(R1),0.571406001,case38
kprod(R2),0.042102768,case38
kprod(N1),-0.426780173,case38
kint(R1),-2.128129465,case39
kdeg(R1),-3.644778428,case39
krec4(R1),-3.795771457,case39
k4to11(R1),-3.356833657,case39
krec11(R1),-1.032073117,case39
kint(R2),-3.621021006,case39
kdeg(R2),-3.640449083,case39
krec4(R2),-5.775337471,case39
k4to11(R2),-5.818184985,case39
krec11(R2),-1.050044315,case39
kint(N1),-3.531076946,case39
kdeg(N1),-5.999869731,case39
krec4(N1),-1.866301454,case39
k4to11(N1),-1.000125964,case39
krec11(N1),-3.047270503,case39
kprod(R1),0.565210071,case39
kprod(R2),0.063145637,case39
kprod(N1),-0.543573231,case39
kint(R1),-1.754068046,case40
kdeg(R1),-3.638782287,case40
krec4(R1),-2.996884283,case40
k4to11(R1),-3.137218858,case40
krec11(R1),-1.126278428,case40
kint(R2),-3.643133153,case40
kdeg(R2),-3.631322705,case40
krec4(R2),-6,case40
k4to11(R2),-5.98505965,case40
krec11(R2),-1.418653473,case40
kint(N1),-5.519935538,case40
kdeg(N1),-5.98075905,case40
krec4(N1),-2.396866458,case40
k4to11(N1),-2.64244628,case40
krec11(N1),-3.781779696,case40
kprod(R1),0.568823376,case40
kprod(R2),0.043283666,case40
kprod(N1),-0.035259658,case40
kint(R1),-2.12395545,case41
kdeg(R1),-3.6455458,case41
krec4(R1),-3.60922381,case41
k4to11(R1),-3.445074947,case41
krec11(R1),-1.04042442,case41
kint(R2),-3.598961522,case41
kdeg(R2),-3.620150821,case41
krec4(R2),-4.798930769,case41
k4to11(R2),-5.782516056,case41
krec11(R2),-1.017118469,case41
kint(N1),-3.381575329,case41
kdeg(N1),-5.828010417,case41
krec4(N1),-1.002687898,case41
k4to11(N1),-1.032138584,case41
krec11(N1),-3.136183634,case41
kprod(R1),0.566189927,case41
kprod(R2),0.060584531,case41
kprod(N1),-0.568893672,case41
kint(R1),-1.84417831,case42
kdeg(R1),-3.636895934,case42
krec4(R1),-3.74802129,case42
k4to11(R1),-2.912431524,case42
krec11(R1),-1.000091211,case42
kint(R2),-3.642579754,case42
kdeg(R2),-3.630635691,case42
krec4(R2),-5.992679047,case42
k4to11(R2),-5.86588667,case42
krec11(R2),-1.037853315,case42
kint(N1),-3.349702193,case42
kdeg(N1),-5.251354654,case42
krec4(N1),-1.985563472,case42
k4to11(N1),-1.064976673,case42
krec11(N1),-2.832239734,case42
kprod(R1),0.561268388,case42
kprod(R2),0.043244354,case42
kprod(N1),-0.306959321,case42
kint(R1),-1.622220364,case43
kdeg(R1),-3.636952405,case43
krec4(R1),-2.770164633,case43
k4to11(R1),-3.142028596,case43
krec11(R1),-1.034708908,case43
kint(R2),-3.643305041,case43
kdeg(R2),-3.631285541,case43
krec4(R2),-6,case43
k4to11(R2),-6,case43
krec11(R2),-1.003908816,case43
kint(N1),-3.180456064,case43
kdeg(N1),-5.909706669,case43
krec4(N1),-1.111753092,case43
k4to11(N1),-2.353684514,case43
krec11(N1),-4.45459391,case43
kprod(R1),0.573498206,case43
kprod(R2),0.043205039,case43
kprod(N1),-0.158859609,case43
kint(R1),-1.797729702,case44
kdeg(R1),-3.639614886,case44
krec4(R1),-2.992636346,case44
k4to11(R1),-3.279931701,case44
krec11(R1),-1.000004343,case44
kint(R2),-3.619571665,case44
kdeg(R2),-3.635430245,case44
krec4(R2),-5.968551138,case44
k4to11(R2),-5.287678668,case44
krec11(R2),-1.161661033,case44
kint(N1),-3.291604597,case44
kdeg(N1),-6,case44
krec4(N1),-1.008951224,case44
k4to11(N1),-1.911155437,case44
krec11(N1),-3.768734352,case44
kprod(R1),0.569631366,case44
kprod(R2),0.059108818,case44
kprod(N1),-0.297879785,case44
kint(R1),-1.662341109,case45
kdeg(R1),-3.637385598,case45
krec4(R1),-2.850657701,case45
k4to11(R1),-3.097186964,case45
krec11(R1),-1.000026058,case45
kint(R2),-3.642942246,case45
kdeg(R2),-3.631359871,case45
krec4(R2),-5.992380225,case45
k4to11(R2),-5.969602699,case45
krec11(R2),-1.008441683,case45
kint(N1),-3.282612463,case45
kdeg(N1),-5.99991315,case45
krec4(N1),-1.156213025,case45
k4to11(N1),-2.245017507,case45
krec11(N1),-4.23852322,case45
